,StateName,Abbrev,Date,AvgPrice,Type,MORTGAGE30US,MonthlyPayment,AvgRent
238,Kansas,KS,2015-05-31,273336.84097337583,Multifamily,3.87,705.21,821.1487896428745
239,New Mexico,NM,2015-05-31,310609.9501704297,Multifamily,3.87,801.37,869.5988233949979
240,Nebraska,NE,2015-05-31,261970.266402212,Multifamily,3.87,675.88,841.4100440292252
241,Idaho,ID,2015-05-31,259068.20164965655,Multifamily,3.87,668.4,839.4845712752884
242,West Virginia,ID,2015-05-31,220455.09521980264,Multifamily,3.87,568.77,839.4845712752884
243,Hawaii,HI,2015-05-31,835897.0424414511,Multifamily,3.87,2156.61,1256.2221302329474
244,New Hampshire,NH,2015-05-31,359903.4892255077,Multifamily,3.87,928.55,1052.0442908467592
245,Maine,ME,2015-05-31,295143.12342811446,Multifamily,3.87,761.47,1044.3743051424412
246,Rhode Island,RI,2015-05-31,401743.9083336108,Multifamily,3.87,1036.5,1119.2106312321382
247,Montana,MT,2015-05-31,322931.88591259415,Multifamily,3.87,833.16,960.3152646890816
248,Delaware,DE,2015-05-31,420576.6975687705,Multifamily,3.87,1085.09,1141.2599772857598
249,South Dakota,SD,2015-05-31,277474.82283579995,Multifamily,3.87,715.89,1161.758777602374
250,North Dakota,ND,2015-05-31,335231.27963409055,Multifamily,3.87,864.9,841.3008437437555
251,Alaska,AK,2015-05-31,434198.4769842534,Multifamily,3.87,1120.23,1057.2504578183225
253,Vermont,VT,2015-05-31,318792.0725667652,Multifamily,3.87,822.48,933.1967624722474
254,Wyoming,WY,2015-05-31,328611.722264844,Multifamily,3.87,847.82,830.429072201644
255,California,CA,2015-06-30,704639.7368677049,Multifamily,4.02,1888.43,1311.0933012669645
256,Texas,TX,2015-06-30,370331.9077068929,Multifamily,4.02,992.49,952.0832578560859
257,Florida,FL,2015-06-30,407867.1532646273,Multifamily,4.02,1093.08,1044.2166966642217
258,New York,NY,2015-06-30,441639.7882979622,Multifamily,4.02,1183.59,1025.8219042189353
259,Pennsylvania,PA,2015-06-30,294798.8718543235,Multifamily,4.02,790.06,916.6397276805244
